id,classe,requisito,codigo,tipo_evidencia,fonte,localizacao,enunciado,hipoteses,argumento_aplicavel,estado
E-QK-TRUNC,instrumento,H1 (S2-ratio′: passagem cauda suave → truncamento abrupto),derivacao-condicional,identidade exata + limite ε→0,docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.13,—,"P-RH-trunc: |a_k·(F*−M_{≤U})| ≤ B^{RH′}_{χ,k} + |Θ_k(U)|, com Θ_k(U) = Σ_{U₁<log n≤U}χcQ_k − Σ_{U<log n<U₂}(1−χ)cQ_k (finita); proposta U=U₂",as de P-RH (RH; 𝒜 com F5 e J1 bibliográficas; contagem local); S3b para o resto; 0<ε→0,𝟙_{log n>U} = χ − 𝟙_{≤U}χ + 𝟙_{>U}(1−χ); lado esquerdo independente de ε; termos dependentes de ε → 0; B^{RH′} uniforme,derivado; Θ_k(U₂) não calculado (exige declaração); refinamento dos zeros adiado até o orçamento completo
E-QK-THETA,instrumento,H1 (S2-ratio′(U₂): termo de transição),B,cálculo em ponto flutuante sob declaração prévia,"docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.14; results/etapa11_r5/DECLARACAO_THETA.md (SHA-256 4b6959bb…), theta_calculo.py, theta_tabela.csv, theta_resumo.json",—,"Θ_k(U₂) em 12 cortes × 1410 pares: margem 10⁻⁶|c_k|−|Θ_k| > 0 em todos (B; descontar o erro estimado não acrescenta garantia); |Θ_k|/|c_k| ≤ 3,4e-9; S_abs/|c_k| ≤ 1,5e-8; |Θ_k|/B^{RH′} ≤ 4,8e-6; orçamento ≤ 1e-6: 361/461 elegíveis, 559/1410, só em (8,2), idêntico a §II.12",dupla precisão; M⁺ por SVD; W em forma fechada (conferida com window_response); δ=1e-9 declarado,"soma finita direta sobre potências de primo em (U₁,U₂]","calculado (B); erro estimado, não certificado; a regra subestimou a discrepância entre implementações (≤6,4e-16|c_k|), que é diagnóstico de estabilidade e não cota; ausência de cancelamento restrita à soma de transição; certificação exige ainda cotas rigorosas de normas por SVD e cálculos finitos; margem positiva não certifica S2-ratio′; orçamento > 1e-6 não refuta S2-ratio′; refinamento dos zeros não iniciado"
E-QK-ZDEC,instrumento,H1 (parcela dos zeros de B^{RH′}),derivacao + B-hibrido,decomposição sob declaração prévia + lema,"docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.15; results/etapa11_r5/DECLARACAO_ZDEC.md (SHA-256 34e51253…), zdec_calculo.py, zdec_tabela.csv, zdec_resumo.json",—,"Z_ν/2 = P0 (n(ν)L₀) + P1a (j=±1) + P1b (|j|≥2) + P2 + P3: L₂ domina (92–99,8%); P1a ~57–62%; próximos ~65%; P2+P3 < 3e-5; Lema 4′: mínimo com L₀ nas janelas j≠0 (J := min{j: (2j−1)² ≥ L₂/L₀})",as de P-RH e PRH2; mesmos parâmetros,"repartição exata da cota do Lema 4; Lema 3 com min(L₀, L₂/η²)","decomposição calculada (híbrida; frações da majorante, não das somas reais); conferência declarada (1e-9 rel.) não satisfeita por granularidade da exportação PRH2, conferência posterior absoluta ≤ 8e-12; Lema 4′ derivado, não avaliado; Lema C (contagem local por fórmula explícita sob RH) formulado, não derivado"
E-QK-PRH3,instrumento,H1 (S2-ratio′(U₂): P-RH com Lemas 4′ e 5′ + Θ_k),B-hibrido,avaliação sob declaração prévia,"docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.16; results/etapa11_r5/DECLARACAO_PRH3.md (SHA-256 f33773b9…), prh3_calculo.py, prh3_tabela.csv, prh3_resumo.json",—,"Z′/Z 0,07–0,45; orçamento″ = (B^{RH″}+|Θ_k(U₂)|)/|c_k| ≤ 1e-6 em 461/461 elegíveis nos três Δ com d₁=8; em (8,2) máx 6,42e-7, mediana 3,68e-7; todas 1180/1410; parcela dos zeros ≥ 0,99986 (mín. 0,9998686); conferências declaradas satisfeitas","RH; F5, J1 bibliográficas; mesma grade, cortes, blocos e linhas; ‖a_k‖₁ e Θ_k em ponto flutuante",Lema 4′ + Lema 5′ + Arq + Θ_k(U₂),"avaliado (híbrido); não certifica S2-ratio′ (faltam normas por SVD, Q_k e Θ_k rigorosos); alvo F* ideal com U=U₂; S1, S3a, S3c (alvos sobre F*) pendentes; passagem ao estimador registrado (ordenadas, densidade, código) é camada adicional pendente; melhor valor no canto da grade, não ótimo; H1 aberta"
E-QK-CERT,instrumento,"H1 (S2-ratio′(U₂), condição suficiente em (8,2)) — execução 1",certificacao-pendente-de-correcao-numerica,intervalos (numpy nextafter + mpmath.iv) sob declaração prévia,"docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.17; results/etapa11_r5/DECLARACAO_CERT.md (SHA-256 b7a7980c…), cert_calculo_exec1_pendente.py, cert_blocos_exec1_pendente.csv, cert_tabela_exec1_pendente.csv, cert_resumo_exec1_pendente.json",—,"(execução 1; NÃO certificada: falhas de enclausuramento — conversões mpf de extremos em ck_inf e mn, ramo |v|≈1 de W_iv disjunto, decisão por conversão comum) para M^math: posto 94 certificado (ρ ≤ 8,62e-13); (B^{RH″}+S^abs)/|c_k| ≤ 1e-6 certificado em 461/461 elegíveis (máx 6,45224355e-7) e 1178/1410 pares; corte (8,2) escolhido após avaliação exploratória","RH; 𝒜 com F5 e J1 bibliográficas; contagem local (Jensen); S3b; base de confiança: IEEE-754 binary64, mpmath.iv, inteiros exatos, crivo conferido",P-RH-trunc + Lemas 4′ e 5′ + cota de |Q_k| por (L/8π)Σ|P| em células com derivada (Lema 1),pendente de correção numérica (auditoria 11.3b-23); resultados não válidos como certificado; ver E-QK-CERT2
E-QK-CERT2,instrumento,"H1 (S2-ratio′(U₂), condição suficiente em (8,2)) — execução 2",certificacao-computacional-condicional,"intervalos (numpy nextafter + mpmath.iv, extremos exatos por Fraction) sob declaração e adendo 1","docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.18; results/etapa11_r5/DECLARACAO_CERT.md (b7a7980c…), DECLARACAO_CERT_CORRECAO1.md (0a693179…), cert_calculo.py (cad037a7…), cert_testes.py, cert_testes_resultado.json, cert_blocos.csv, cert_tabela.csv, cert_resumo.json",—,"testes T1–T6 aprovados (sensíveis às falhas da execução 1); para M^math: posto 94 (ρ ≤ 8,612e-13); (B^{RH″}+S^abs)/|c_k| ≤ 1e-6 certificado em 461/461 elegíveis (máx 6,45224355e-7) e 1178/1410; 0 mudanças frente à execução 1; corte escolhido após avaliação exploratória","RH; 𝒜 com F5 e J1 bibliográficas; contagem local (Jensen); S3b; base de confiança: IEEE-754 binary64, mpmath.iv, inteiros exatos, crivo conferido",P-RH-trunc + Lemas 4′ e 5′ + cota de |Q_k| por (L/8π)Σ|P| com derivada (Lema 1),"substituída pela execução 3 (lacunas: vmn**4, sup_str não verificada, math.sqrt, math.pi, finitude); ver E-QK-CERT3"
E-QK-CERT3,instrumento,"H1 (S2-ratio′(U₂), condição suficiente em (8,2)) — execução 3",certificacao-computacional-condicional,"intervalos (numpy +,−,×,÷ com nextafter e finitude verificada; mpmath.iv; extremos exatos; exportações conferidas por Fraction) sob declaração e adendos 1–2","docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.19; results/etapa11_r5/DECLARACAO_CERT.md (b7a7980c…), DECLARACAO_CERT_CORRECAO1.md (0a693179…), DECLARACAO_CERT_CORRECAO2.md (75eee940…), cert_calculo.py (ca87480a…), cert_testes.py, cert_testes_resultado.json, cert_blocos.csv, cert_tabela.csv, cert_resumo.json",—,"testes T1–T8 aprovados; para M^math: posto 94 (ρ ≤ 8,612e-13); (B^{RH″}+S^abs)/|c_k| ≤ 1e-6 certificado em 461/461 elegíveis (máx 6,45224355e-7) e 1178/1410; corte escolhido após avaliação exploratória","RH; 𝒜 com F5 e J1 bibliográficas; contagem local (Jensen); S3b; base: IEEE-754 binary64 (H-a)–(H-c), mpmath.iv, inteiros exatos, crivo conferido, lema de somação §II.19.2; c₁^sup, c₂^sup herdados",P-RH-trunc + Lemas 4′ e 5′ + cota de |Q_k| por (L/8π)Σ|P| com derivada (Lema 1),"substituída pela execução 4 (eliminação da dependência herdada de c₁^sup, c₂^sup); ver E-QK-CERT4"
E-QK-CERT4,instrumento,"H1 (S2-ratio′(U₂), condição suficiente em (8,2)) — execução 4",certificacao-computacional-condicional,"intervalos (numpy +,−,×,÷ com nextafter e finitude; mpmath.iv; extremos exatos; exportações conferidas; c₁, c₂ recalculados internamente) sob declaração e adendos 1–3","docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.20; results/etapa11_r5/DECLARACAO_CERT.md (b7a7980c…), adendos CORRECAO1 (0a693179…), CORRECAO2 (75eee940…), RECONF_C1C2 (a8253e9c…); cert_calculo.py (95bec528…), cert_testes.py (2f69e972…), cert_testes_resultado.json, cert_blocos.csv, cert_tabela.csv, cert_resumo.json; MANIFESTO_CERT.csv (56d6c6cf…)",—,"testes T1–T9 aprovados; c₁^sup = 2,000980240144558…, c₂^sup = 9,854618337692911… (frações exatas no resumo); posto 94 (ρ ≤ 8,612e-13); (B^{RH″}+S^abs)/|c_k| ≤ 1e-6 certificado em 461/461 elegíveis (máx 6,45224274e-7) e 1178/1410; sem dependência de strings herdadas","RH; 𝒜 com F5 e J1 bibliográficas; contagem local (Jensen); S3b; base: IEEE-754 binary64 (H-a)–(H-c), mpmath.iv, inteiros exatos, crivo conferido, lema de somação §II.19.2","P-RH-trunc + Lemas 4′ e 5′ + cota de |Q_k| por (L/8π)Σ|P| com derivada (Lema 1); c₁, c₂ por malha intervalar com cobertura exata e pontas analíticas","vigente e congelada; certificado computacional condicional a RH; auditoria integral independente pendente; não prova RH; não certifica C2; não trata S1, S3a, S3c nem passagem ao estimador registrado; H1 aberta"
E-QK-CONTAM,instrumento,"H1 (S2-ratio no observável ideal, contra o catálogo 𝒦, sem corte em U₂)",certificacao-computacional-condicional,intervalos (primitivas de cert_calculo.py importadas; regime I ponto a ponto por W_iv; regime II por células com Lema 1; frações exatas) sob declaração prévia,"docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.21; results/etapa11_r5/DECLARACAO_CERT_CONTAMINACAO.md (1d46bced…), cert_contaminacao.py (4baff933…), cert_contaminacao_testes.py (43e941fe…), cert_contaminacao_testes_resultado.json (13e8a417…), cert_contaminacao_blocos.csv (be3daaa6…), cert_contaminacao_tabela.csv (31abb5a4…), cert_contaminacao_resumo.json (c44f730e…); MANIFESTO_CERT.csv",—,"|a_k·(F*−M_𝒦)| ≤ B^{RH″} + Sabs(exec4, sem peso χ) + P_k(5,6] + C_k(6,13]; testes T1–T15 aprovados (correção do T11 registrada); parada bit a bit limpa nos 30 blocos; certificado em 461/461 elegíveis (máx 6,6090905e-7; acréscimo (P+C)/|c_k| ≤ 2,20e-8; C_k > P_k nos elegíveis) e 1093/1410 pares; 85 não elegíveis perdidos frente à execução 4 (66 em p = 131, 137, 139)","RH; 𝒜 com F5 e J1 bibliográficas; S3b; contagem local (Jensen); base de confiança da execução 4 (IEEE-754 binary64, mpmath.iv, inteiros exatos, crivo conferido, lema de somação §II.19.2); valores B_rel_sup e Sabs_rel_sup lidos da execução 4","identidade exata com partição χ e limite ε→0; dominação de (13,15) por Sabs sem peso; somas de módulos em (5,13]","certificado computacional condicional a RH, para M^math, corte (8,2) escolhido após avaliação exploratória; não é C2 registrado (elegibilidade, agregação, fase Q); camada do estimador registrado (ρ_Δ herdada, ρ_ord condicional a F7, ρ_num) pendente; S1, S3a, S3c abertos; H1 aberta; auditoria integral independente pendente"
E-QK-DENS,instrumento,"H1 (S2-ratio com densidade rvm: F^rvm = F* + ρ_Δ, contra o catálogo 𝒦)",certificacao-computacional-condicional,"derivação analítica (DLMF 5.11.2, §5.11(ii), 25.10.2) + frações exatas sob declaração prévia","docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.22; results/etapa11_r5/DECLARACAO_CERT_DENSIDADE.md (6a69c0d7…), cert_densidade.py (598871cf…), cert_densidade_testes.py (2c583bbb…), cert_densidade_testes_resultado.json (dd01ccb0…), cert_densidade_blocos.csv (193f996e…), cert_densidade_tabela.csv (294ad352…), cert_densidade_resumo.json (b436cc1a…); MANIFESTO_CERT.csv",—,"|Δ(E)| ≤ C/E², C = (1/8+1/2+2√2/3)/(2π), C^sup = 0,249524558791954…; sup_t|ρ_Δ| ≤ D = C·(L/2)/A*², A* = E_c − L/2; |a_k·ρ_Δ| ≤ ‖a_k‖₁^sup·D; testes T1–T21 aprovados (T17: |Δ|E²/C ≤ 0,0266 em 2.020 pontos); certificado em 461/461 elegíveis (máx total^Δ 6,62126197e-7; |a_k·ρ_Δ|/|c_k| ≤ 5,04e-8) e 1089/1410 pares (4 não elegíveis perdidos na margem)","parcela ρ_Δ sem RH; total sob RH (B^{RH″}); 𝒜 com F5 e J1 bibliográficas; base de confiança da execução 4 e da contaminação; janela [A*, B*] definida por E_c e L = fl(B−A) (≠ [A,B] por ≤ 7,3e-12 em 15 blocos)","Stirling com resto de Binet para ψ; Hann w ≤ 1, ∫w = L/2; projeção ℓ1 × sup","certificado computacional condicional a RH, para M^math, corte (8,2) escolhido após avaliação exploratória; dependência herdada density_error_certified.py eliminada; ρ_ord (F7), ρ_num e C2 registrado pendentes; S1, S3a, S3c abertos; H1 aberta; auditoria integral independente pendente"
E-QK-ORD,instrumento,"H1 (S2-ratio com ordenadas tabuladas: F^tab, contra o catálogo 𝒦)",certificacao-computacional-condicional,"expansão lipschitziana em torno dos decimais tabulados + intervalos (mpmath.iv por par zero×nó) + frações exatas, sob declaração prévia","docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.23; results/etapa11_r5/DECLARACAO_CERT_ORDENADAS.md (a3382442…), cert_ordenadas.py (884de087…), cert_ordenadas_testes.py (ca1365f1…), cert_ordenadas_testes_resultado.json (d68d8f1f…, rodada 2), cert_ordenadas_testes_resultado_rodada1.json (f9245a4a…), cert_ordenadas_blocos.csv (2019550f…), cert_ordenadas_tabela.csv (c97f2c1c…), cert_ordenadas_resumo.json (b50e7f5a…); MANIFESTO_CERT.csv (3eb6b49e…)",—,"|a_k·ρ_ord| ≤ 3e-9·Σ_{n∈I}|g_k(γ_n^tab)| + ‖a_k‖₁(|I|·½(3e-9)²S₂ + borda); certificado em 461/461 elegíveis (máx total^γ 7,31323657e-7; linear ≤ 1,25e-7, mediana 7,5e-8; consumo de margem ≤ 31,4%) e 1024/1410 pares; parada bit a bit limpa; testes: rodada 1 falhou (3 critérios de teste), rodada 2 aprovada após correções autorizadas","RH; F5, J1 bibliográficas; H-tab (precisão 3e-9 com multiplicidade, índice↔posto; NÃO certificada; validação amostral B ≤ 2,5e-9); base de confiança das etapas anteriores","Lipschitz de f̃′ (f̃ C¹, f″ com salto nas bordas); pior caso sobre sinais de δ_n; contagem Z1 nas bordas","certificado computacional condicional a RH e H-tab, para M^math, corte (8,2) escolhido após avaliação exploratória; critérios de teste revistos após a rodada 1 (registrado); ρ_num e C2 registrado pendentes; S1, S3a, S3c abertos; H1 aberta; auditoria integral independente pendente"
E-QK-NUM,instrumento,H1 (camada numérica: valor registrado fit_ratio_to_theory × estimador matemático sobre F^tab),certificacao-computacional (N incondicional; T condicional),"enclausuramento direto de X_k = a_k·F^tab (pares zero×nó em mpmath.iv; termo suave por expansão de ln E e momentos fechados) + frações exatas, sob declaração prévia","docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.24; results/etapa11_r5/DECLARACAO_CERT_NUMERICO.md (a120c1e2…), cert_numerico.py (98e08195…), cert_numerico_testes.py (fd3c5599…), cert_numerico_testes_resultado.json (e32ff2f4…), cert_numerico_blocos.csv (45629bd8…), cert_numerico_tabela.csv (300d41bc…), cert_numerico_resumo.json (986a9859…); MANIFESTO_CERT.csv (2a2cd3bd…)",—,"(N): ε_k^sup = sup|r̂_k − X_k/c_k| ≤ 6,27e-11 nos elegíveis, ≤ 4,10e-10 em todos; X_k/c_k − 1 medido em intervalo (elegíveis entre −2,2e-9 e 2,6e-9). (T): ε_k^sup + total^γ_k ≤ 1e-6 em 461/461 elegíveis (máx 7,3136e-7) e 1024/1410 pares (mesmo conjunto de §II.23); alarme de consistência 0 (maior razão 0,609); parada bit a bit limpa; testes T1–T34 aprovados (desvio do T30 registrado)","(N): base de confiança (IEEE-754 binary64, mpmath.iv, lema de somação), sem RH e sem H-tab; (T): RH, F5 e J1 bibliográficas, H-tab (não certificada)",a_k·M_𝒦 = c_k (posto certificado); resto de Taylor de ln(1+y); recorrência por partes dos momentos; desigualdade triangular,"(N) afirma fidelidade sobre dados tabulados, nada sobre zeros verdadeiros; (T) condicional; corte (8,2) escolhido após avaliação exploratória; C2 inteiro (elegibilidade, fração, fase Q), S1, S3a, S3c abertos; H1 aberta; auditoria integral independente pendente"
E-K3a-N-ZEROS,K3a,N1–N4,C,fonte primária (verificação computacional publicada),"van de Lune, te Riele & Winter, Math. Comp. 46 (1986) 667–681 (cópia CWI, SHA-256 3c48d6e7…); Platt & Trudgian, arXiv:2004.09765v1 (SHA-256 3362f66a…)",van de Lune et al. p. 667 (resumo e §1); Platt–Trudgian p. 2 (Teorema 1),"Os primeiros 1.500.000.001 zeros na faixa crítica, com 0 < t < 545.439.823,215, têm parte real 1/2 e são simples (van de Lune et al.). RH vale até altura 3 000 175 332 800 (Platt–Trudgian)",enunciados dos autores sobre suas computações (métodos não reexaminados neste projeto); correspondência índice da tabela ↔ zero não coberta (H-tab; F7 parcial),"γ_{100.000} ≤ 74.920,83 < 545.439.823,215: os zeros 1–100.000 estão entre os verificados, logo são críticos e simples. Com m_ρ = 1 < (1+δ)/2 para todo δ > 1, o Teorema 1 de Connes (E-K3a-M2) dá Sp D_χ ∩ (0, 74.920,83] igual a essas ordenadas. Documenta a condição de C em N1–N4; não torna o teste discriminante",conferido
E-K8-M1,K8,M1,V,fonte primária,"Wu & Sprung, Phys. Rev. E 48 (1993) 2595–2598 (SHA-256 7ccb97d2…)","p. 2596, eqs. (9)–(11); imagem da página conferida","V₀ é fixado para ajustar o primeiro zero (14,134725); V(x) é obtido minimizando F = Σ_n(e_n − E_n)² sobre os primeiros N zeros E_n (calculados numericamente), com δF/δV(x) = 2Σ_n(e_n − E_n)φ_n²(x); ajuste até N = 500, desvio médio < 4·10⁻⁶","potencial local 1D com simetria de reflexão, 2m/ħ² = 1, discretização de Numerov (8.392 pontos, passo 0,005)","M1 exige operador definido sem usar os zeros. Nesta construção V é função dos E_n por mínimos quadrados, logo M1 é violado para o potencial de Wu–Sprung. Não se estende a outros potenciais 1D definidos independentemente",conferido
E-K2a-M1,K2a,M1,P,fonte primária,"Berry & Keating, J. Phys. A: Math. Theor. 44 (2011) 285203 (SHA-256 ed80fdfc…)","p. 5, eq. (2.22) e parágrafo seguinte","Condição de contorno ∂ₓχ(0)/χ(0) = e^{iα}/η, ""derived as the condition for hermiticity"" e ""first guessed from numerical explorations""; ""Each choice of α corresponds to a different self-adjoint extension of the formal operator""; a condição vale ""only for states decaying as x → ∞""",hamiltoniano simetrizado (x + 1/x)(p + 1/p) no semieixo x > 0; equação integral (2.15),"M1 exige auto-adjunticidade demonstrada (igualdade dos domínios do operador e do adjunto). O texto deriva uma condição de hermiticidade sobre estados que decaem e afirma a correspondência com extensões auto-adjuntas, sem prova de domínio. O operador não usa os zeros. Logo P, não S",conferido
E-K2a-M3,K2a,M3; N1,P,fonte primária,"Berry & Keating, J. Phys. A: Math. Theor. 44 (2011) 285203 (SHA-256 ed80fdfc…)","pp. 12–13, eqs. (5.1)–(5.7) e §6","Com E = t/2π e η = 1/2π (eq. 5.3), a densidade dos autovalores (α = 0) é (1/2π)log(t/2π) + (8π/t²)(log(t/2π) − 1) + ⋯ (5.4), contra (1/2π)log(t/2π) − 1/(48πt²) + ⋯ para os zeros (5.1); ""the first correction terms are discrepant and indeed have opposite signs""; nas contagens ""the first two terms agree"": N_Rsm = (t/2π)(log(t/2π) − 1) + 7/8 + ⋯ (5.6) contra N = (t/2π)(log(t/2π) − 1) − (8π/t)log(t/2π) + ⋯ (5.7). §6: ""we are not claiming that our hamiltonian has an immediate connection with the Riemann zeta function""",α = 0 (espectro simétrico sem autovalor em E = 0); identificação de escala fixada para casar o termo dominante. Observação: (5.1) está impressa com arg Γ(½ + it); a forma padrão de θ usa Γ(¼ + it/2),"M3 exige N(E) = θ(E)/π + 1 + S(E) completa. Só os dois primeiros termos da contagem média coincidem; o termo 7/8 falta e as flutuações não são tratadas. P em M3 e em N1 (compatibilidade de densidade média só assintótica, sem avaliação na faixa)",conferido
E-K4-TEOR1,K4,M1; M2; M3; M6; N1–N4,C,fonte primária (preprint),"Lagarias, Hilbert Spaces of Entire Functions and Dirichlet L-Functions, preprint de 2006 (SHA-256 5e0cef3b…); publicado em Frontiers in Number Theory, Physics, and Geometry I, 365–377 (versão publicada não comparada)",p. 7 (extensões auto-adjuntas de M_z) e p. 9 (Teorema 1); imagens das páginas conferidas,"Teorema 1: para χ primitivo, E_χ(z) = A_χ(z) − iB_χ(z), A_χ(z) = ξ_χ(½ − iz), B_χ(z) = iξ′_χ(½ − iz); (i) E_χ é função de de Branges se e só se RH vale para L(s, χ); (ii) E_χ é função de de Branges estrita se e só se RH vale e todos os zeros não triviais são simples. p. 7: a extensão auto-adjunta M_z(A) tem espectro puramente discreto e simples nos zeros de A(z) de multiplicidade maior que a de B(z) no mesmo ponto","RH para L(s, χ) (global); para o caso estrito, também simplicidade de todos os zeros; hipóteses de regularidade do caso ""denso"" e contínuo declaradas pelo autor (p. 5)","A construção só existe como espaço de de Branges sob RH, e parte de ξ_χ (não é definida independentemente de ζ). Sob RH, o espectro de M_z(A) está nas ordenadas dos zeros, com multiplicidade espectral 1. Logo M1, M2, M3, M6 e N1–N4 são condicionais (C): RH, e para M6 também simplicidade. Confere o enunciado que antes vinha só do resumo",conferido
E-K9-M1,K9,M1,S,fonte primária,"Hörmander, The spectral function of an elliptic operator, Acta Math. 121 (1968) 193–218 (SHA-256 a633994c…)",p. 193 (introdução) e p. 205 (§3),"p. 193: P elíptico, coeficientes C^∞, formalmente positivo, (Pu,u) ≥ c(u,u), é simétrico em C₀^∞ e tem ao menos uma extensão auto-adjunta com cota inferior positiva (Friedrichs). p. 205: numa variedade compacta, o fecho de um ΨDO elíptico de ordem 1, formalmente auto-adjunto e semilimitado, com domínio C^∞, é auto-adjunto semilimitado com domínio H(1)","variedade C^∞ com densidade positiva; P elíptico formalmente positivo (ou ΨDO de ordem 1 semilimitado na variedade compacta); ordem m tratada via P^{1/m}, ΨDO clássico (p. 195)","A classe K9 é definida por operadores deste tipo, sem usar os zeros; a auto-adjunticidade vem do teorema citado. S como hipótese da classe, com página",conferido
E-K9-M3,K9,M3,V,derivação sobre fonte,"Hörmander, The spectral function of an elliptic operator, Acta Math. 121 (1968) 193–218 (SHA-256 a633994c…); plano §2.1 (M3)","Teorema 4.4, eq. (4.10), p. 212; Teorema 5.1, eq. (5.3), p. 215","Uniformemente na variedade compacta Ω de dimensão n: |e(x,x,λ) − (2π)^{−n}∫_{p(x,ξ)<λ}dξ| ≤ C(1+|λ|)^{(n−1)/m} (5.3), com e o núcleo da resolução espectral; análogo com expoente n−1 para ΨDO de ordem 1 (4.10)","Ω compacta sem bordo; P elíptico positivo de ordem m com símbolo principal p homogêneo de grau m; identificação afim γ_j = aλ_j + b (a > 0) entre autovalores e ordenadas, ou via A = P^{1/m}","N(λ) = Tr E_λ = ∫_Ω e(x,x,λ)dx = cλ^{n/m} + O(λ^{(n−1)/m}), com c = (2π)^{−n}∫_Ω vol{ξ: p(x,ξ) < 1}dx ∈ (0, ∞) (p homogêneo positivo). Sob γ = aλ + b, #{γ_j ≤ E} ~ c·a^{−n/m}E^{n/m}; a contagem de Riemann–von Mangoldt é N_ζ(E) ~ (E/2π)log E. Para n/m ≠ 1 a razão tende a 0 ou ∞; para n/m = 1 ela é ~ 2πc/(a log E) → 0. Com A = P^{1/m}, N_A(μ) ~ cμ^n, mesma conclusão. ESCOPO: incompatibilidade assintótica global sob identificações afins; NÃO estabelece violação de tolerâncias numa faixa finita de alturas (N1 continua PC)",derivação escrita
E-K9-M2,K9,M2,V,derivação,E-K9-M3,—,Espectro ≠ zeros sob identificação afim,idem,"M2 implica M3 (plano §2.1); M3 violado assintoticamente ⇒ M2 violado. ESCOPO: global, identificações afins",derivação escrita
E-K7-M3,K7,M3,V,derivação sobre fonte,"Bäcker, arXiv:nlin/0204061v1 (SHA-256 no manifesto); plano §2.1 (M3)","PDF p. 22, eqs. (48)–(49)","Para bilhares bidimensionais, N̄(E) = (A/4π)E − (L/4π)√E + C + ⋯, com A a área, L = L₋ − L₊ (comprimentos de fronteira de Dirichlet e Neumann) e C com correções de curvatura e cantos (fórmula de Weyl generalizada, citada pela revisão como [39])",domínio plano limitado; condições de Dirichlet/Neumann; identificação afim γ_j = aE_j + b (a > 0) entre níveis e ordenadas; E → ∞; fonte secundária,"Sob γ = aE + b, #{γ_j ≤ E} ~ (A/4πa)E, enquanto N_ζ(E) ~ (E/2π)log E: a razão ~ A/(2a log E) → 0. Com a identificação γ = √E (momento), #{γ_j ≤ E} ~ (A/4π)E², mesma conclusão. ESCOPO: incompatibilidade assintótica global sob identificações afins; NÃO estabelece violação de tolerâncias numa faixa finita de alturas (N1 continua PC)",derivação escrita
E-K7-M2,K7,M2,V,derivação,E-K7-M3,—,Espectro ≠ zeros sob identificação afim,idem,"M2 implica M3 (plano §2.1); M3 violado assintoticamente ⇒ M2 violado. ESCOPO: global, identificações afins",derivação escrita
E-T5-BGS,K7,N4 (T5),C,fonte secundária com DOI,"Ullmo, Bohigas-Giannoni-Schmit conjecture, Scholarpedia 11(9):31721 (2016), doi:10.4249/scholarpedia.31721, revisão #169195 (HTML arquivado)",introdução,"Enunciado original (Bohigas, Giannoni & Schmit 1984) citado: ""Spectra of time reversal-invariant systems whose classical analogues are K systems show the same fluctuation properties as predicted by GOE""; ""still not proven""; a versão com GUE aparece entre as ""natural extensions""",sistema com reversão temporal e análogo clássico K-sistema; conjectura (não teorema),"N4 para K7 é condicional a uma conjectura (C). Para bilhares com reversão temporal a comparação correta é com GOE, não GUE",conferido
E-T6-ARIT,K5a,N4 (T6),P,fonte secundária + derivação semiclássica,"Bogomolny, Quantum and Arithmetical Chaos, HAL-00000984v1 (SHA-256 ab4531e6…); Bogomolny, Leyvraz & Schmit, arXiv:chao-dyn/9509019v1 (publicado: CMP 176 (1996) 577–617)",Bogomolny: resumo (PDF p. 3) e Cap. 3 (PDF p. 68); BLS: resumo e §2,"Superfícies geradas por grupos aritméticos têm estatística de níveis próxima de Poisson (observação numérica no triângulo modular, refs. [3], [52] das notas); mecanismo: degenerescência exponencial dos comprimentos de órbitas periódicas; BLS: correlação de dois pontos no domínio modular com comportamento Poisson para pequenas separações e oscilações aritméticas","grupos aritméticos; derivações semiclássicas e numéricas, não teoremas; notas declaradamente não formais","Sustenta P (heurístico/numérico) para a estatística não universal de superfícies aritméticas. Não sustenta S/V. Para superfície compacta não aritmética, T6 não se aplica (ver também Bogomolny & Schmit, nlin/0312057, sobre multiplicidades em grupos não aritméticos)",conferido
